Outcome,Probability
HTHHTTTHT,0.001953
THHHTTTHT,0.001953
HHHHTTTHT,0.001953
TTTTHTTHT,0.001953
HTTTHTTHT,0.001953
THTTHTTHT,0.001953
HHTTHTTHT,0.001953
TTHTHTTHT,0.001953
HTHTHTTHT,0.001953
THHTHTTHT,0.001953
HHHTHTTHT,0.001953
TTTHHTTHT,0.001953
HTTHHTTHT,0.001953
THTHHTTHT,0.001953
HHTHHTTHT,0.001953
TTHHHTTHT,0.001953
HTHHHTTHT,0.001953
THHHHTTHT,0.001953
HHHHHTTHT,0.001953
TTTTTHTHT,0.001953
HTTTTHTHT,0.001953
THTTTHTHT,0.001953
HHTTTHTHT,0.001953
TTHTTHTHT,0.001953
HTHTTHTHT,0.001953
THHTTHTHT,0.001953
HHHTTHTHT,0.001953
TTTHTHTHT,0.001953
HTTHTHTHT,0.001953
THTHTHTHT,0.001953
HHTHTHTHT,0.001953
TTHHTHTHT,0.001953
HTHHTHTHT,0.001953
THHHTHTHT,0.001953
HHHHTHTHT,0.001953
TTTTHHTHT,0.001953
HTTTHHTHT,0.001953
THTTHHTHT,0.001953
HHTTHHTHT,0.001953
TTHTHHTHT,0.001953
HTHTHHTHT,0.001953
THHTHHTHT,0.001953
HHHTHHTHT,0.001953
TTTHHHTHT,0.001953
HTTHHHTHT,0.001953
THTHHHTHT,0.001953
HHTHHHTHT,0.001953
TTHHHHTHT,0.001953
HTHHHHTHT,0.001953
THHHHHTHT,0.001953
HHHHHHTHT,0.001953
TTTTTTHHT,0.001953
HTTTTTHHT,0.001953
THTTTTHHT,0.001953
HHTTTTHHT,0.001953
TTHTTTHHT,0.001953
HTHTTTHHT,0.001953
THHTTTHHT,0.001953
HHHTTTHHT,0.001953
TTTHTTHHT,0.001953
HTTHTTHHT,0.001953
THTHTTHHT,0.001953
HHTHTTHHT,0.001953
TTHHTTHHT,0.001953
HTHHTTHHT,0.001953
THHHTTHHT,0.001953
HHHHTTHHT,0.001953
TTTTHTHHT,0.001953
HTTTHTHHT,0.001953
THTTHTHHT,0.001953
HHTTHTHHT,0.001953
TTHTHTHHT,0.001953
HTHTHTHHT,0.001953
THHTHTHHT,0.001953
HHHTHTHHT,0.001953
TTTHHTHHT,0.001953
HTTHHTHHT,0.001953
THTHHTHHT,0.001953
HHTHHTHHT,0.001953
TTHHHTHHT,0.001953
HTHHHTHHT,0.001953
THHHHTHHT,0.001953
HHHHHTHHT,0.001953
TTTTTHHHT,0.001953
HTTTTHHHT,0.001953
THTTTHHHT,0.001953
HHTTTHHHT,0.001953
TTHTTHHHT,0.001953
HTHTTHHHT,0.001953
THHTTHHHT,0.001953
HHHTTHHHT,0.001953
TTTHTHHHT,0.001953
HTTHTHHHT,0.001953
THTHTHHHT,0.001953
